id,title,stage,concept_origin,generation_model,generation_prompt,product_type,source_bestseller,batch_id,replaces_design_id,generation_run_id,design_brief_id,provenance_class,best_color,created_at,updated_at,deleted_at
1013,60s amplifier tee,ready_for_ads,new,recraft-crisp,"vintage amplifier for a producer, chill mood, 2 colors",tee,,batch_20260223_4,,66a1206f-d886-005a-9815-dc8138925f7a,10131,full,royal,2026-02-23T19:42:00+00:00,2026-02-24T20:42:00+00:00,
1014,modern amplifier tee,live,new,gpt-image-2,"bold graphic amplifier for a classical musician, proud mood, 5 colors",tee,,batch_20260424_2,,83aeef23-1138-78a6-85fb-f608e2331ec9,10141,full,black,2026-04-24T17:12:00+00:00,2026-04-27T09:12:00+00:00,
1015,modern vinyl record tee,declined,new,recraft-crisp,"watercolor vinyl record for a producer, chill mood, 3 colors",tee,,batch_20260323_5,,c7101289-c38a-8815-f1b2-2477e4ac7776,10151,full,royal,2026-03-23T16:14:00+00:00,2026-03-25T03:14:00+00:00,
1016,modern microphone tee,live,new,gpt-image-2,"bold graphic microphone for a vinyl collector, chill mood, 2 colors",tee,,batch_20260504_5,,a323922a-bcc1-2173-d938-0effdfe46dda,10161,full,navy,2026/05/04 14:22,2026-05-06T13:22:00+00:00,
1017,  modern guitar tee,declined,new,nb2-4k,"vintage guitar for a metalhead, proud mood, 3 colors",tee,,batch_20260226_6,,46c0c5e9-3cf0-debc-696e-12f37c30f931,10171,full,black,2026/02/26 10:28,2026-02-28T16:28:00+00:00,
1018,modern music notes tee,mockup_approved,new,recraft-crisp,"watercolor music notes for a metalhead, rebellious mood, 5 colors",tee,,batch_20260407_4,,79709de7-38f6-0b7b-d78c-24d3add28a90,10181,full,navy,2026/04/07 16:48,2026-04-10T12:48:00+00:00,
1019,80s amplifier tee,live,new,gpt-image-2,"watercolor amplifier for a classical musician, chill mood, 3 colors",tee,,batch_20260105_2,,c9f449c6-55af-7be4-74dc-7c668e373df0,10191,legacy-pre-funnel,sports grey,2026-01-05T20:36:00+00:00,2026-01-07T16:36:00+00:00,
1020,90s vinyl record tee,ready_for_ads,new,gpt-image-2,"watercolor vinyl record for a saxophonist, proud mood, 2 colors",tee,,batch_20260125_2,,a932d610-eff9-5439-a683-d1373c739e5f,10201,full,sports grey,2026/01/25 20:18,2026/01/27 16:18,
1021,  70s sheet music tee,live,new,fal-flux,"distressed sheet music for a vinyl collector, rebellious mood, 4 colors",tee,,batch_20260302_5,,b3e6c82e-bf41-e458-5bee-7916dc3c03c5,10211,full,black,2026/03/02 17:28,2026-03-04T08:28:00+00:00,
1022,60s music notes tee,declined,new,gpt-image-2,"line art music notes for a metalhead, nostalgic mood, 4 colors",tee,,batch_20260318_3,,31ba4ea2-c07a-adbe-736f-c32176b906f8,10221,full,royal,2026-03-18T20:11:00+00:00,2026-03-19T04:11:00+00:00,
1023,50s sheet music tee,published,new,recraft-crisp,"watercolor sheet music for a classical musician, nostalgic mood, 2 colors",tee,,batch_20260110_5,,ce2fba5d-deb0-adfb-5e59-cd57f1e7f239,10231,full,navy,2026/01/10 04:19,2026-01-12T18:19:00+00:00,
1024,50s turntable tee,approved,variation,fal-flux,"watercolor turntable for a guitarist, proud mood, 5 colors",tee,,batch_20260331_4,1006,b42df7bd-b3ba-26c5-a606-6added97ca3f,10241,full,black,2026-03-31T03:51:00+00:00,2026-04-02T23:51:00+00:00,
1025,50s music notes tee,approved,new,gpt-image-2,"line art music notes for a country fan, rebellious mood, 2 colors",tee,,batch_20260114_4,,1e2fc5de-e4d0-e149-94d5-970d37acf9c1,10251,full,black,2026-01-14T10:13:00+00:00,2026-01-16T16:13:00+00:00,
1026,60s turntable tee,declined,new,nb2-4k,"vintage turntable for a metalhead, proud mood, 3 colors",tee,,batch_20260510_1,,fc435243-2378-7256-d854-ce03c1bbd800,10261,full,sports grey,2026-05-10T05:12:00+00:00,2026-05-11T21:12:00+00:00,
1027,80s headphones tee,ready_for_ads,new,nb2-4k,"distressed headphones for a country fan, nostalgic mood, 2 colors",tee,,batch_20260417_5,,0e3460b5-4904-ee2c-1bb7-883f5a842c9c,10271,full,white,2026-04-17T03:48:00+00:00,2026/04/17 16:48,
1028,80s sheet music tee,live,new,fal-flux,"line art sheet music for a drummer, rebellious mood, 5 colors",tee,,batch_20260608_1,,ca44ee80-a914-6753-ee33-c3c1ec207193,10281,full,white,2026-06-08T23:48:00+00:00,2026-06-10T07:48:00+00:00,
1029,80s microphone tee,approved,variation,nb2-4k,"distressed microphone for a vinyl collector, rebellious mood, 4 colors",tee,bs_39,batch_20260120_6,1004,782ece34-507a-5729-b820-dc22bda89a70,10291,full,MG,2026-01-20T05:21:00+00:00,2026-01-21T22:21:00+00:00,
1030,50s piano keys tee,declined,variation,gpt-image-2,"watercolor piano keys for a guitarist, nostalgic mood, 3 colors",tee,bs_76,batch_20260523_2,1026,fde9a99a-4fb5-5beb-d98f-821d50a2cb69,10301,full,sports grey,2026-05-23T21:52:00+00:00,2026/05/24 06:52,
1031,90s sheet music tee,ready_for_ads,variation,gpt-image-2,"bold graphic sheet music for a metalhead, nostalgic mood, 6 colors",tee,bs_28,batch_20260603_5,1015,d5aeb07f-401d-dc46-83cf-f71bc00b0623,10311,legacy-pre-funnel,white,2026-06-03T05:40:00+00:00,2026-06-04T01:40:00+00:00,
1032,60s amplifier tee,mockup_approved,variation,recraft-crisp,"bold graphic amplifier for a guitarist, funny mood, 5 colors",tee,bs_46,batch_20260203_1,1025,36eba3f6-bd6c-3179-8496-a8a9a90a8362,10321,full,black,2026-02-03T21:56:00+00:00,2026-02-06T16:56:00+00:00,
1033,50s vinyl record tee,published,new,fal-flux,"vintage vinyl record for a drummer, chill mood, 3 colors",tee,,batch_20260116_3,,f12a6fe3-c2aa-706c-0581-f7d41b263416,10331,full,navy,2026-01-16T19:49:00+00:00,2026-01-17T17:49:00+00:00,
1034,80s piano keys tee,approved,variation,gpt-image-2,"distressed piano keys for a saxophonist, chill mood, 6 colors",tee,bs_64,batch_20260115_3,1023,5bbde455-5fa2-50b4-c9b2-62f7261c1d68,10341,full,white,2026-01-15T16:01:00+00:00,2026-01-17T09:01:00+00:00,
1035,50s vinyl record tee,live,variation,fal-flux,"vintage vinyl record for a drummer, rebellious mood, 6 colors",tee,bs_66,batch_20260327_2,1015,36c37ab9-05ab-f868-e459-41195d6169eb,10351,full,royal,2026/03/27 07:09,2026-03-27T12:09:00+00:00,
1036,90s cassette tee,declined,variation,fal-flux,"distressed cassette for a producer, chill mood, 6 colors",tee,,batch_20260224_4,997,34d2f6e0-0f62-a29c-415e-cafa7dde0d6d,10361,full,heather navy,2026-02-24T18:20:00+00:00,2026-02-27T02:20:00+00:00,
1037,70s guitar tee,approved,variation,fal-flux,"bold graphic guitar for a metalhead, funny mood, 2 colors",tee,bs_14,batch_20260221_6,1012,6d76c8c4-bab8-ac97-bf41-527a11f9bd6c,10371,full,royal,2026-02-21T08:11:00+00:00,2026-02-21T08:11:00+00:00,
1038,90s sheet music tee,approved,new,fal-flux,"vintage sheet music for a saxophonist, proud mood, 5 colors",tee,,batch_20260111_6,,8c9e4adb-7226-19d3-b7d2-f0f6db0b4347,10381,full,black,2026-01-11T13:24:00+00:00,2026-01-11T17:24:00+00:00,
1039,modern amplifier tee,live,new,gpt-image-2,"distressed amplifier for a saxophonist, proud mood, 5 colors",tee,,batch_20260527_6,,ddef9b61-7de2-6cef-bff8-918bcb6ff073,10391,full,navy,2026-05-27T13:21:00+00:00,2026-05-28T07:21:00+00:00,
1040,70s headphones tee,published,variation,gpt-image-2,"bold graphic headphones for a classical musician, rebellious mood, 1 colors",tee,bs_116,batch_20260130_5,1000,144b8263-0244-f68a-46ca-633ece165d25,10401,full,royal,2026/01/30 11:35,2026-01-31T00:35:00+00:00,
1041,modern headphones tee,approved,new,nb2-4k,"distressed headphones for a country fan, rebellious mood, 2 colors",tee,,batch_20260428_5,,06afc6be-2cc6-5bbb-5ad4-a5b9aabe9a08,10411,full,navy,2026-04-28T10:24:00+00:00,2026-04-29T07:24:00+00:00,
1042,70s amplifier tee,published,new,recraft-crisp,"watercolor amplifier for a country fan, chill mood, 2 colors",tee,,batch_20260316_3,,8d6914a3-0ec7-e4d8-ace8-24a60f5dd877,10421,full,charcoal,2026-03-16T03:59:00+00:00,2026-03-17T17:59:00+00:00,
1043,  60s microphone tee,mockup_approved,new,fal-flux,"vintage microphone for a producer, rebellious mood, 4 colors",tee,,batch_20260520_6,,07965f75-a722-44ce-4fd9-8103c593914e,10431,full,sports grey,2026-05-20T17:04:00+00:00,2026-05-23T15:04:00+00:00,
1044,70s sheet music tee,approved,new,gpt-image-2,"retro sheet music for a guitarist, funny mood, 5 colors",tee,,batch_20260312_3,,f02992ee-fd42-7b85-a786-75f5166f23b0,10441,full,navy,2026-03-12T10:36:00+00:00,2026/03/14 15:36,
1045,90s vinyl record tee,live,variation,gpt-image-2,"line art vinyl record for a country fan, funny mood, 3 colors",tee,bs_73,batch_20260330_2,1012,6e77d4cc-0dc3-6740-f12b-363517af4317,10451,full,royal,2026-03-30T22:36:00+00:00,2026-04-02T09:36:00+00:00,
1046,60s piano keys tee,mockup_approved,variation,recraft-crisp,"line art piano keys for a guitarist, chill mood, 3 colors",tee,,batch_20260421_1,1020,307c86f5-5ea3-bbe6-fa9d-90abc563b922,10461,full,heather navy,2026-04-21T16:22:00+00:00,2026-04-23T17:22:00+00:00,
1047,80s vinyl record tee,declined,new,recraft-crisp,"line art vinyl record for a country fan, proud mood, 4 colors",tee,,batch_20260321_1,,498ff285-47d4-accf-6263-0c88683b8b4d,10471,full,white,2026-03-21T07:03:00+00:00,2026-03-21T16:03:00+00:00,2026/05/24 23:28
1048,70s guitar tee,live,variation,gpt-image-2,"distressed guitar for a guitarist, nostalgic mood, 3 colors",tee,bs_83,batch_20260326_3,1032,64fd1003-a949-5176-f67f-aaba2a90e180,10481,full,sports grey,2026/03/26 01:09,2026-03-26T19:09:00+00:00,
1049,60s amplifier tee,approved,variation,fal-flux,"retro amplifier for a drummer, funny mood, 3 colors",tee,bs_28,batch_20260120_3,1029,3c577881-84ea-47de-8b2e-2fc53d866979,10491,full,white,2026-01-20T02:21:00+00:00,2026-01-20T23:21:00+00:00,
1050,80s cassette tee,approved,new,gpt-image-2,"bold graphic cassette for a producer, proud mood, 2 colors",tee,,batch_20260602_5,,44c627bc-84a0-efaf-bc32-efea30a347f4,10501,full,royal,2026/06/02 18:04,2026-06-04T09:04:00+00:00,
1051,80s piano keys tee,published,variation,recraft-crisp,"line art piano keys for a producer, chill mood, 3 colors",tee,bs_26,batch_20260524_2,1011,f4bbcc14-322f-5113-3f27-cab0a9477460,10511,full,black,2026-05-24T15:02:00+00:00,2026-05-27T07:02:00+00:00,
1052,  60s piano keys tee,live,new,recraft-crisp,"distressed piano keys for a classical musician, nostalgic mood, 3 colors",tee,,batch_20260406_6,,35a13494-ddc6-6b55-9559-feaffabb374c,10521,full,royal,2026-04-06T04:16:00+00:00,2026-04-08T04:16:00+00:00,
1053,modern headphones tee,approved,new,gpt-image-2,"bold graphic headphones for a metalhead, funny mood, 6 colors",tee,,batch_20260218_3,,49816331-285f-8610-8670-638984e65980,10531,full,black,2026-02-18T21:17:00+00:00,2026-02-18T22:17:00+00:00,2026-05-16T23:07:00+00:00
1054,70s microphone tee,declined,variation,fal-flux,"vintage microphone for a metalhead, proud mood, 4 colors",tee,bs_68,batch_20260102_2,1018,56bf0de5-710a-0756-7ff3-424afd74cc32,10541,full,MG,2026-01-02T12:26:00+00:00,2026/01/03 15:26,
1055,modern music notes tee,approved,variation,nb2-4k,"retro music notes for a drummer, nostalgic mood, 2 colors",tee,bs_22,batch_20260521_4,1039,b932d85f-73af-b9a1-55a5-9b6cf7c9bf58,10551,full,charcoal,2026-05-21T09:08:00+00:00,2026-05-22T02:08:00+00:00,
1056,90s turntable tee,declined,new,nb2-4k,"vintage turntable for a producer, funny mood, 3 colors",tee,,batch_20260507_6,,0e6d077a-c31b-385b-56a0-cb78103d3c86,10561,full,MG,2026-05-07T20:24:00+00:00,2026-05-09T02:24:00+00:00,
1057,90s headphones tee,mockup_approved,new,nb2-4k,"watercolor headphones for a producer, chill mood, 3 colors",tee,,batch_20260126_2,,e59efa21-a761-ac99-2db3-714e3dbad0d0,10571,full,heather navy,2026/01/26 09:53,2026-01-28T22:53:00+00:00,
1058,60s music notes tee,approved,new,nb2-4k,"retro music notes for a country fan, proud mood, 5 colors",tee,,batch_20260216_2,,af3c9f61-1744-ff9f-50eb-42ff8e1eba31,10581,full,royal,2026-02-16T06:40:00+00:00,2026-02-16T12:40:00+00:00,
1059,80s vinyl record tee,published,variation,nb2-4k,"distressed vinyl record for a saxophonist, proud mood, 5 colors",tee,bs_113,batch_20260524_2,1036,0418ccb8-2b6a-687a-ec5c-e1e83fea63ba,10591,full,sports grey,2026-05-24T20:35:00+00:00,2026/05/27 05:35,2026-03-08T16:21:00+00:00
1060,50s vinyl record tee   ,published,new,nb2-4k,"bold graphic vinyl record for a producer, chill mood, 2 colors",tee,,batch_20260303_2,,426addf7-e73c-4f95-625a-1d31ce06ef84,10601,full,MG,2026-03-03T22:28:00+00:00,2026-03-06T10:28:00+00:00,
1061,  70s turntable tee,mockup_approved,variation,fal-flux,"line art turntable for a guitarist, proud mood, 1 colors",tee,bs_36,batch_20260113_5,1052,eddb48c6-2e96-ecf0-41e5-c9e3c461edfc,10611,full,white,2026-01-13T12:18:00+00:00,2026-01-16T06:18:00+00:00,
1062,90s piano keys tee,live,new,gpt-image-2,"vintage piano keys for a metalhead, rebellious mood, 4 colors",tee,,batch_20260115_2,,66a7036f-505c-8a39-cfa5-ee0bcde71edb,10621,full,heather navy,2026-01-15T13:18:00+00:00,2026-01-16T00:18:00+00:00,
1063,80s cassette tee,live,new,nb2-4k,"retro cassette for a guitarist, chill mood, 3 colors",tee,,batch_20260117_5,,7ddc3a02-686a-d90b-6530-0592604fe721,10631,full,charcoal,2026-01-17T07:17:00+00:00,2026/01/18 03:17,
1064,70s guitar tee,live,variation,gpt-image-2,"retro guitar for a producer, proud mood, 4 colors",tee,,batch_20260506_2,1045,bde8a62a-219d-365c-511f-f70abd81c212,10641,full,royal,2026-05-06T15:09:00+00:00,2026-05-07T09:09:00+00:00,
1065,70s music notes tee,gate_review,variation,gpt-image-2,"watercolor music notes for a saxophonist, nostalgic mood, 6 colors",tee,,batch_20260101_2,1052,0af6db6d-f9eb-65a4-9df1-b73099051168,10651,unlinked-post-funnel,black,2026-01-01T11:40:00+00:00,2026-01-04T01:40:00+00:00,
1066,80s turntable tee,live,variation,nb2-4k,"line art turntable for a classical musician, nostalgic mood, 2 colors",tee,bs_80,batch_20260430_4,1030,0527c56f-b2ae-ff81-cd15-fe1125cf82b5,10661,full,white,2026-04-30T05:23:00+00:00,2026-05-03T01:23:00+00:00,
1067,modern piano keys tee,approved,new,fal-flux,"retro piano keys for a guitarist, proud mood, 6 colors",tee,,batch_20260514_3,,5c9abf46-f940-f72a-7548-414d45225201,10671,full,sports grey,2026/05/14 12:31,2026-05-15T17:31:00+00:00,2026/01/19 12:17
1068,  80s microphone tee,declined,new,recraft-crisp,"bold graphic microphone for a vinyl collector, chill mood, 5 colors",tee,,batch_20260312_1,,afeea707-5bed-9de0-f600-b0adec591a1d,10681,full,white,2026/03/12 10:40,2026-03-14T23:40:00+00:00,
1069,  60s sheet music tee,ready_for_ads,variation,fal-flux,"bold graphic sheet music for a classical musician, nostalgic mood, 4 colors",tee,bs_94,batch_20260501_5,1053,7574a9c2-512e-c781-ec91-a68553cd9328,10691,full,royal,2026-05-01T19:56:00+00:00,2026-05-02T07:56:00+00:00,
1070,90s cassette tee,approved,variation,nb2-4k,"vintage cassette for a producer, proud mood, 4 colors",tee,,batch_20260406_4,1063,14915e56-73a8-677b-6e7b-2bb85c6b4764,10701,full,sports grey,2026-04-06T02:45:00+00:00,2026-04-08T13:45:00+00:00,
1071,50s microphone tee,live,variation,nb2-4k,"watercolor microphone for a metalhead, rebellious mood, 1 colors",tee,bs_38,batch_20260219_3,1049,79416c2a-7a0b-173b-e075-d0f52917bd34,10711,full,heather navy,2026-02-19T03:02:00+00:00,2026-02-21T05:02:00+00:00,
1072,80s microphone tee,live,new,nb2-4k,"distressed microphone for a producer, nostalgic mood, 3 colors",tee,,batch_20260105_1,,3bef114f-a614-d5cc-5c09-4ab529efb608,10721,full,heather navy,2026-01-05T10:23:00+00:00,2026-01-07T09:23:00+00:00,
1073,90s headphones tee,live,new,nb2-4k,"retro headphones for a drummer, nostalgic mood, 6 colors",tee,,batch_20260307_5,,064a2b07-de2f-e36a-de2e-14705aa157ee,10731,full,sports grey,2026-03-07T04:33:00+00:00,2026-03-08T07:33:00+00:00,
1074,70s microphone tee,ready_for_ads,new,gpt-image-2,"vintage microphone for a classical musician, rebellious mood, 3 colors",tee,,batch_20260605_2,,159e30ee-c0b9-f2cf-57c0-697d8db954f7,10741,full,heather navy,2026-06-05T03:20:00+00:00,2026-06-07T00:20:00+00:00,
1075,50s guitar tee,approved,variation,gpt-image-2,"watercolor guitar for a drummer, proud mood, 3 colors",tee,bs_117,batch_20260223_5,1049,62008e04-a1bc-3201-8c31-0b3660c3948d,10751,full,MG,2026-02-23T23:08:00+00:00,2026-02-26T04:08:00+00:00,
1076,80s piano keys tee,published,variation,fal-flux,"distressed piano keys for a classical musician, funny mood, 3 colors",tee,bs_31,batch_20260223_1,1053,2f733e7d-ae4b-04a9-04f6-825fa9ef0ec9,10761,legacy-pre-funnel,heather navy,2026-02-23T22:57:00+00:00,2026-02-25T00:57:00+00:00,
1077,modern cassette tee,live,variation,gpt-image-2,"line art cassette for a classical musician, chill mood, 2 colors",tee,bs_85,batch_20260405_3,1054,f0c6c53d-c9c7-d4bf-ba21-09594dd41417,10771,full,sports grey,2026-04-05T21:14:00+00:00,2026-04-07T08:14:00+00:00,
1078,70s guitar tee,live,variation,recraft-crisp,"bold graphic guitar for a drummer, chill mood, 2 colors",tee,bs_110,batch_20260204_4,1074,7e283067-7d28-ccc3-41f8-eefa27e66cff,10781,full,white,2026-02-04T21:36:00+00:00,2026-02-07T01:36:00+00:00,
1079,90s headphones tee,mockup_approved,new,recraft-crisp,"retro headphones for a guitarist, chill mood, 6 colors",tee,,batch_20260514_3,,2e57fc3b-24a2-e5bb-6271-9b08ab113d06,10791,full,navy,2026/05/14 20:43,2026/05/16 21:43,
1080,50s microphone tee   ,published,variation,gpt-image-2,"watercolor microphone for a country fan, chill mood, 2 colors",tee,bs_88,batch_20260326_6,1074,e34b9423-c320-0956-82e3-ed5c1fc02c6d,10801,full,black,2026-03-26T00:24:00+00:00,2026-03-26T03:24:00+00:00,
1081,60s vinyl record tee,published,new,recraft-crisp,"watercolor vinyl record for a guitarist, funny mood, 3 colors",tee,,batch_20260506_2,,7a41cec8-7222-6251-352f-ae31f01f7388,10811,full,MG,2026-05-06T06:02:00+00:00,2026-05-07T00:02:00+00:00,2026-06-07T15:45:00+00:00
1082,90s microphone tee,mockup_approved,variation,gpt-image-2,"watercolor microphone for a saxophonist, nostalgic mood, 3 colors",tee,bs_7,batch_20260322_6,1059,501a5023-986c-7ff3-bccd-7d121d92cbad,10821,full,heather navy,2026-03-22T19:55:00+00:00,2026-03-22T22:55:00+00:00,
1083,60s amplifier tee   ,published,variation,gpt-image-2,"watercolor amplifier for a saxophonist, funny mood, 4 colors",tee,bs_104,batch_20260311_2,1063,03b3ef0d-7485-184e-e2cd-f376beec954f,10831,full,heather navy,2026/03/11 13:13,2026-03-13T20:13:00+00:00,
1084,70s music notes tee,published,new,gpt-image-2,"watercolor music notes for a guitarist, proud mood, 6 colors",tee,,batch_20260103_1,,c6977186-ec2a-83ca-a22d-64a880bdae12,10841,full,MG,2026-01-03T14:16:00+00:00,2026-01-06T01:16:00+00:00,
1085,80s sheet music tee,ready_for_ads,new,fal-flux,"vintage sheet music for a saxophonist, rebellious mood, 2 colors",tee,,batch_20260519_1,,d86dee09-a5e4-8dbb-df85-8b4b5a701fde,10851,full,MG,2026-05-19T16:24:00+00:00,2026-05-21T17:24:00+00:00,
1086,90s headphones tee,mockup_approved,variation,nb2-4k,"retro headphones for a drummer, chill mood, 5 colors",tee,bs_116,batch_20260106_2,1058,6d80e7f3-566a-f9cb-756b-0bb0f41ad626,10861,full,MG,2026/01/06 02:55,2026-01-08T13:55:00+00:00,
1087,80s amplifier tee,approved,new,gpt-image-2,"distressed amplifier for a saxophonist, rebellious mood, 6 colors",tee,,batch_20260327_6,,689f4e58-2d81-9629-6273-4f4041e84563,10871,legacy-pre-funnel,royal,2026-03-27T09:32:00+00:00,2026/03/30 03:32,
1088,80s amplifier tee,approved,new,gpt-image-2,"vintage amplifier for a saxophonist, nostalgic mood, 5 colors",tee,,batch_20260315_3,,d1740f03-fcff-ae8f-cd2b-c5e31c9ab664,10881,full,royal,2026-03-15T12:49:00+00:00,2026-03-18T00:49:00+00:00,
1089,60s microphone tee,live,variation,nb2-4k,"watercolor microphone for a drummer, funny mood, 3 colors",tee,bs_6,batch_20260518_5,1066,efd1eaa1-fea3-5713-a0f7-16822918476e,10891,full,black,2026-05-18T08:40:00+00:00,2026-05-21T02:40:00+00:00,
1090,50s vinyl record tee,ready_for_ads,new,gpt-image-2,"bold graphic vinyl record for a producer, rebellious mood, 3 colors",tee,,batch_20260301_1,,bd34e86e-56ac-a789-45d4-d330c7cd1812,10901,legacy-pre-funnel,heather navy,2026-03-01T20:11:00+00:00,2026-03-03T01:11:00+00:00,
1091,modern amplifier tee   ,ready_for_ads,new,recraft-crisp,"bold graphic amplifier for a drummer, chill mood, 2 colors",tee,,batch_20260314_6,,2cc8c7a2-2da5-842c-21f5-94568e1bcb3d,10911,full,royal,2026-03-14T15:37:00+00:00,2026-03-14T22:37:00+00:00,
1092,70s sheet music tee,approved,new,nb2-4k,"vintage sheet music for a classical musician, chill mood, 5 colors",tee,,batch_20260426_5,,cbb08f2b-bfc5-5567-d963-a0ea8f87ac36,10921,full,black,2026/04/26 08:40,2026-04-29T00:40:00+00:00,
1093,50s turntable tee,published,new,gpt-image-2,"retro turntable for a metalhead, funny mood, 3 colors",tee,,batch_20260414_3,,6a8bc8c9-6b4c-7ccb-f939-190be207f8f8,10931,full,MG,2026-04-14T05:38:00+00:00,2026-04-17T00:38:00+00:00,2026-02-25T04:44:00+00:00
1094,50s sheet music tee,declined,new,fal-flux,"line art sheet music for a vinyl collector, funny mood, 5 colors",tee,,batch_20260220_6,,3e137fa8-eeab-e561-0b5d-45c8168a870e,10941,full,navy,2026-02-20T16:09:00+00:00,2026-02-23T06:09:00+00:00,
1095,  70s microphone tee,mockup_approved,variation,fal-flux,"line art microphone for a saxophonist, nostalgic mood, 5 colors",tee,bs_20,batch_20260112_3,1069,ee77e8ff-03c6-69a0-ef8b-4a8f7d7a45df,10951,full,MG,2026-01-12T08:03:00+00:00,2026-01-15T02:03:00+00:00,
1096,90s piano keys tee,declined,new,nb2-4k,"vintage piano keys for a country fan, proud mood, 2 colors",tee,,batch_20260130_6,,7936d570-095d-a369-a762-0c8403f7ed0b,10961,full,royal,2026-01-30T04:16:00+00:00,2026-01-30T09:16:00+00:00,
1097,70s amplifier tee,gate_review,new,nb2-4k,"vintage amplifier for a producer, chill mood, 2 colors",tee,,batch_20260225_2,,a371c121-dfb0-8986-f639-826232c8fbf8,10971,unlinked-post-funnel,heather navy,2026-02-25T09:24:00+00:00,2026-02-28T08:24:00+00:00,
1098,  70s sheet music tee,published,new,recraft-crisp,"bold graphic sheet music for a vinyl collector, funny mood, 3 colors",tee,,batch_20260506_1,,7288e03f-c33c-9017-b9b2-6cda23aa2e9a,10981,full,royal,2026-05-06T06:19:00+00:00,2026-05-07T22:19:00+00:00,
